"y","X1","X2","X3","X4","X5","X6","X11","X13","X17","X18","X19","X20","X22","X23","X24","X25","X28","X29","X30","X31","X32","X33"
0.001,7,0.01,0.01,0.01,0.01,0.01,0.01,13,9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19,7,18,0.01,27
0.001,13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10,0.01,10,7,0.01,0.01,0.01,12,55,11,9,0.01,41
0.001,11,0.01,0.01,14,0.01,0.01,9,12,11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,31,0.01,17,0.01,44
0.001,0.01,15,0.01,0.01,13,0.01,0.01,12,0.01,12,0.01,12,0.01,0.01,7,14,0.01,49,0.01,15,0.01,28
0.001,10,7,18,0.01,0.01,0.01,0.01,9,0.01,28,0.01,24,14,0.01,0.01,0.01,0.01,21,0.01,7,0.01,38
0.001,11,0.01,0.01,0.01,16,0.01,10,0.01,0.01,0.01,0.01,0.01,0.01,6,0.01,0.01,0.01,28,0.01,8,15,78
0.001,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,0.01,28,8,0.01,0.01,0.01,17,0.01,0.01,25,0.01,6,0.01,33
0.001,6,0.01,0.01,0.01,24,0.01,8,15,18,20,0.01,0.01,0.01,0.01,11,0.01,14,37,0.01,10,23,58
0.001,8,0.01,0.01,0.01,8,0.01,0.01,20,0.01,15,0.01,0.01,0.01,0.01,41,0.01,0.01,32,0.01,11,0.01,40
0.06,0.01,0.01,13,14,50,0.01,15,16,10,20,0.01,15,12,0.01,30,0.01,12,28,0.01,21,16,19
0.001,0.01,0.01,0.01,0.01,9,0.01,0.01,25,0.01,21,0.01,0.01,8,0.01,13,0.01,8,15,0.01,14,0.01,45
0.001,0.01,0.01,0.01,10,8,0.01,0.01,17,0.01,21,21,0.01,0.01,0.01,29,0.01,0.01,0.01,0.01,0.01,0.01,34
0.001,0.01,0.01,0.01,46,33,0.01,0.01,11,0.01,12,0.01,0.01,0.01,0.01,47,13,0.01,29,0.01,18,0.01,22
1.09,0.01,0.01,0.01,0.01,16,0.01,17,12,0.01,11,0.01,0.01,0.01,0.01,29,0.01,0.01,25,0.01,19,10,100
2.17,9,0.01,0.01,0.01,18,16,0.01,21,0.01,7,13,0.01,0.01,0.01,47,0.01,0.01,29,0.01,0.01,0.01,76
2,0.01,0.01,0.01,0.01,58,9,18,30,0.01,12,0.01,10,0.01,7,56,0.01,0.01,15,0.01,0.01,0.01,65
0.23,0.01,0.01,9,0.01,33,8,27,11,0.01,21,0.01,0.01,0.01,0.01,63,0.01,0.01,27,0.01,9,0.01,84
0.001,28,19,10,0.01,68,0.01,16,15,0.01,22,9,0.01,7,0.01,68,0.01,0.01,27,0.01,0.01,0.01,49
4.28,0.01,0.01,0.01,0.01,31,0.01,20,0.01,0.01,0.01,9,6,0.01,8,33,11,9,29,6,8,0.01,47
12,11,10,26,0.01,45,11,24,0.01,0.01,15,0.01,7,9,16,16,11,0.01,27,0.01,0.01,0.01,63
19.5,24,14,8,0.01,34,0.01,0.01,0.01,0.01,30,0.01,9,0.01,7,10,7,0.01,11,0.01,23,0.01,41
17,0.01,0.01,0.01,0.01,58,0.01,34,9,0.01,17,18,0.01,0.01,9,46,0.01,0.01,16,12,11,0.01,60
1.7,38,36,31,0.01,100,10,61,7,0.01,32,10,0.01,0.01,0.01,40,0.01,0.01,19,0.01,0.01,0.01,48
5,34,34,27,0.01,88,9,32,19,0.01,0.01,10,0.01,28,7,31,0.01,0.01,49,22,18,0.01,47
48.93,23,17,19,0.01,55,9,25,8,8,11,7,0.01,0.01,0.01,42,0.01,0.01,18,0.01,12,0.01,42
84,21,21,0.01,0.01,55,11,29,8,7,20,0.01,0.01,0.01,0.01,28,0.01,0.01,28,0.01,0.01,0.01,37
67.18,37,22,25,0.01,55,11,39,0.01,14,26,0.01,0.01,0.01,0.01,12,9,13,27,0.01,0.01,0.01,26
53,13,15,0.01,0.01,51,0.01,10,19,0.01,16,0.01,0.01,5,0.01,25,0.01,0.01,38,0.01,8,20,47
93.21,17,13,22,0.01,56,0.01,12,13,0.01,14,0.01,9,0.01,0.01,11,9,0.01,30,0.01,0.01,0.01,60
131,0.01,0.01,0.01,22,24,0.01,9,0.01,7,0.01,0.01,0.01,0.01,0.01,9,0.01,0.01,30,8,6,0.01,22
106.11,16,15,15,0.01,31,0.01,9,0.01,0.01,7,21,0.01,0.01,0.01,24,0.01,0.01,7,9,7,0.01,33
53,7,0.01,8,0.01,30,28,0.01,9,0.01,47,0.01,0.01,0.01,0.01,12,0.01,0.01,18,6,0.01,0.01,38
18.54,0.01,0.01,0.01,0.01,13,0.01,0.01,7,8,7,0.01,0.01,8,0.01,0.01,8,0.01,29,7,0.01,0.01,73
4.42,0.01,13,10,15,18,0.01,6,0.01,9,0.01,0.01,0.01,0.01,0.01,0.01,6,29,6,0.01,26,0.01,74
1,20,0.01,12,0.01,14,0.01,0.01,12,11,21,0.01,0.01,0.01,0.01,16,8,0.01,21,5,7,0.01,62
0.2,0.01,0.01,0.01,7,10,0.01,8,9,0.01,12,0.01,0.01,0.01,21,0.01,0.01,0.01,35,0.01,11,5,76
0.001,0.01,0.01,9,0.01,15,0.01,11,8,0.01,51,0.01,0.01,0.01,0.01,0.01,0.01,8,31,0.01,13,0.01,41
0.001,0.01,0.01,9,0.01,9,0.01,0.01,19,0.01,16,0.01,0.01,0.01,0.01,0.01,11,7,24,0.01,7,0.01,45
