"y","X1","X2","X3","X4","X5","X6","X11","X13","X17","X18","X19","X20","X22","X23","X24","X25","X28","X29","X30","X31","X32","X33"
0.001,0.01,0.01,0.01,13,0.01,0.01,0.01,24,0.01,25,10,0.01,0.01,0.01,0.01,0.01,0.01,24,0.01,0.01,0.01,24
0.001,0.01,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,13,9,24,0.01,0.01,0.01,0.01,0.01,16,29,12,0.01,48
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16,17,17,0.01,0.01,9,30,0.01,11,10,0.01,11,0.01,36
0.001,0.01,12,0.01,0.01,12,0.01,0.01,16,0.01,0.01,0.01,0.01,0.01,0.01,28,10,0.01,0.01,0.01,0.01,0.01,46
0.001,0.01,0.01,0.01,0.01,0.01,0.01,7,0.01,18,0.01,0.01,0.01,0.01,7,0.01,12,0.01,30,0.01,14,15,45
0.001,0.01,21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17,0.01,0.01,21,0.01,0.01,0.01,0.01,12,0.01,0.01,0.01,19
1.66,13,20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,0.01,0.01,0.01,0.01,11,0.01,11,0.01,8,0.01,58
5,0.01,0.01,10,27,0.01,12,0.01,20,0.01,16,11,0.01,0.01,0.01,29,0.01,28,36,0.01,0.01,0.01,35
11.28,17,12,0.01,9,0.01,0.01,21,7,0.01,0.01,0.01,0.01,0.01,15,14,0.01,0.01,23,0.01,0.01,0.01,31
20,0.01,0.01,0.01,0.01,21,0.01,7,22,0.01,20,0.01,0.01,0.01,0.01,12,0.01,12,32,16,0.01,0.01,22
29.35,0.01,0.01,9,0.01,0.01,0.01,16,9,0.01,0.01,8,0.01,0.01,0.01,0.01,0.01,0.01,27,0.01,0.01,0.01,28
34,8,0.01,10,0.01,12,0.01,19,0.01,0.01,9,7,0.01,7,0.01,7,0.01,0.01,27,0.01,6,0.01,26
29.39,0.01,0.01,35,0.01,27,8,10,9,13,12,0.01,0.01,0.01,0.01,7,0.01,0.01,24,0.01,9,0.01,19
17.51,0.01,0.01,0.01,0.01,8,0.01,0.01,7,0.01,10,0.01,0.01,0.01,7,14,0.01,26,15,0.01,21,0.01,33
2,0.01,0.01,0.01,7,63,0.01,0.01,11,0.01,7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15,11,0.01,0.01,39
0.001,0.01,9,0.01,6,11,0.01,0.01,0.01,8,0.01,0.01,0.01,0.01,0.01,0.01,13,0.01,20,0.01,9,0.01,25
0.001,0.01,0.01,0.01,0.01,19,9,0.01,0.01,25,24,23,0.01,0.01,0.01,0.01,16,0.01,32,0.01,0.01,0.01,17
0.001,13,0.01,12,0.01,19,15,0.01,10,6,15,0.01,0.01,10,0.01,0.01,0.01,0.01,17,7,7,0.01,28
0.001,0.01,0.01,0.01,0.01,8,0.01,23,0.01,8,0.01,0.01,0.01,0.01,0.01,19,0.01,0.01,11,0.01,0.01,0.01,18
0.001,0.01,0.01,9,0.01,24,0.01,0.01,11,17,23,0.01,9,0.01,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,29
0.001,0.01,13,0.01,0.01,10,0.01,0.01,11,24,0.01,0.01,8,0.01,0.01,0.01,17,0.01,0.01,0.01,12,22,22
0.001,0.01,23,0.01,0.01,0.01,8,0.01,8,0.01,22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14,0.01,0.01,0.01,23
0.001,0.01,0.01,0.01,0.01,10,0.01,0.01,16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9,0.01,24,0.01,0.01,0.01,55
