"EW2","date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
1,"2015-10-04",0,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,7,18,0,27
2,"2015-10-11",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,7,0,0,0,0,12,55,11,9,0,41
3,"2015-10-18",0,11,0,0,14,0,0,0,0,0,9,0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,31,0,17,0,44
4,"2015-10-25",0,0,15,0,0,13,0,0,0,0,0,0,12,0,0,0,0,12,0,12,0,0,0,7,14,0,0,49,0,15,0,28
5,"2015-11-01",0,10,7,18,0,0,0,0,0,0,0,0,9,0,0,0,0,28,0,24,0,14,0,0,0,0,0,21,0,7,0,38
6,"2015-11-08",0,11,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,28,0,8,15,78
7,"2015-11-15",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,8,0,7,0,0,17,0,0,0,25,0,6,0,33
8,"2015-11-22",0,6,0,0,0,24,0,0,0,0,8,0,15,0,0,0,18,20,0,0,10,0,0,11,0,0,14,37,0,10,23,58
9,"2015-11-29",0,8,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,15,0,0,8,0,0,41,0,0,0,32,0,11,0,40
10,"2015-12-06",0.06,0,0,13,14,50,0,0,0,0,15,0,16,0,0,0,10,20,0,15,0,12,0,30,0,0,12,28,0,21,16,19
11,"2015-12-13",0,0,0,0,0,9,0,0,0,0,0,0,25,0,0,0,0,21,0,0,0,8,0,13,0,0,8,15,0,14,0,45
12,"2015-12-20",0,0,0,0,10,8,0,0,0,0,0,0,17,0,0,0,0,21,21,0,0,0,0,29,0,0,0,0,0,0,0,34
13,"2015-12-27",0,0,0,0,46,33,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,47,13,0,0,29,0,18,0,22
14,"2016-01-03",1.09,0,0,0,0,16,0,0,0,0,17,0,12,0,0,0,0,11,0,0,0,0,0,29,0,0,0,25,0,19,10,100
15,"2016-01-10",2.17,9,0,0,0,18,16,0,0,0,0,0,21,0,0,0,0,7,13,0,0,0,0,47,0,0,0,29,0,0,0,76
16,"2016-01-17",2,0,0,0,0,58,9,0,0,0,18,0,30,0,0,0,0,12,0,10,0,0,7,56,0,0,0,15,0,0,0,65
17,"2016-01-24",0.23,0,0,9,0,33,8,0,0,0,27,0,11,0,0,0,0,21,0,0,8,0,0,63,0,0,0,27,0,9,0,84
18,"2016-01-31",0,28,19,10,0,68,0,0,0,0,16,0,15,0,0,0,0,22,9,0,22,7,0,68,0,0,0,27,0,0,0,49
19,"2016-02-07",4.28,0,0,0,0,31,0,0,0,0,20,0,0,0,0,0,0,0,9,6,0,0,8,33,11,0,9,29,6,8,0,47
20,"2016-02-14",12,11,10,26,0,45,11,0,0,0,24,0,0,0,0,0,0,15,0,7,0,9,16,16,11,0,0,27,0,0,0,63
21,"2016-02-21",19.5,24,14,8,0,34,0,0,0,0,0,0,0,0,0,0,0,30,0,9,0,0,7,10,7,0,0,11,0,23,0,41
22,"2016-02-28",17,0,0,0,0,58,0,0,0,0,34,0,9,0,0,0,0,17,18,0,0,0,9,46,0,0,0,16,12,11,0,60
23,"2016-03-06",1.7,38,36,31,0,100,10,0,0,0,61,0,7,0,0,0,0,32,10,0,0,0,0,40,0,0,0,19,0,0,0,48
24,"2016-03-13",5,34,34,27,0,88,9,0,0,0,32,0,19,0,0,0,0,0,10,0,0,28,7,31,0,0,0,49,22,18,0,47
25,"2016-03-20",48.93,23,17,19,0,55,9,0,0,0,25,0,8,0,0,0,8,11,7,0,0,0,0,42,0,0,0,18,0,12,0,42
26,"2016-03-27",84,21,21,0,0,55,11,0,0,0,29,0,8,0,0,0,7,20,0,0,0,0,0,28,0,0,0,28,0,0,0,37
27,"2016-04-03",67.18,37,22,25,0,55,11,0,0,0,39,0,0,0,0,0,14,26,0,0,0,0,0,12,9,0,13,27,0,0,0,26
28,"2016-04-10",53,13,15,0,0,51,0,0,0,0,10,0,19,0,0,0,0,16,0,0,8,5,0,25,0,0,0,38,0,8,20,47
29,"2016-04-17",93.21,17,13,22,0,56,0,0,0,0,12,0,13,0,0,0,0,14,0,9,0,0,0,11,9,0,0,30,0,0,0,60
30,"2016-04-24",131,0,0,0,22,24,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,30,8,6,0,22
31,"2016-05-01",106.11,16,15,15,0,31,0,0,0,0,9,0,0,0,0,0,0,7,21,0,0,0,0,24,0,0,0,7,9,7,0,33
32,"2016-05-08",53,7,0,8,0,30,28,0,0,0,0,0,9,0,0,0,0,47,0,0,0,0,0,12,0,0,0,18,6,0,0,38
33,"2016-05-15",18.54,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,8,7,0,0,0,8,0,0,8,0,0,29,7,0,0,73
34,"2016-05-22",4.42,0,13,10,15,18,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,29,6,0,26,0,74
35,"2016-05-29",1,20,0,12,0,14,0,0,0,0,0,0,12,0,0,0,11,21,0,0,0,0,0,16,8,0,0,21,5,7,0,62
36,"2016-06-05",0.2,0,0,0,7,10,0,0,0,0,8,0,9,0,0,0,0,12,0,0,0,0,21,0,0,0,0,35,0,11,5,76
37,"2016-06-12",0,0,0,9,0,15,0,0,0,0,11,0,8,0,0,0,0,51,0,0,0,0,0,0,0,0,8,31,0,13,0,41
38,"2016-06-19",0,0,0,9,0,9,0,0,0,0,0,0,19,0,0,0,0,16,0,0,7,0,0,0,11,0,7,24,0,7,0,45
39,"2016-06-26",0,9,0,0,0,7,9,0,0,0,0,0,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,26,0,9,0,54
40,"2016-07-03",0,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,8,16,0,0,0,0,0,7,0,0,0,23,0,0,0,41
41,"2016-07-10",0,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,48,10,0,0,49
42,"2016-07-17",0,0,0,0,0,10,0,0,0,0,8,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,6,40
