"my_date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
"2013-02-03",0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,11,0,0,11,0,8,0,58
"2013-02-10",1.7,0,0,10,27,0,12,0,0,0,0,0,20,0,0,0,0,16,11,0,8,0,0,29,0,0,28,36,0,0,0,35
"2013-02-17",5,17,12,0,9,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,0,0,15,14,0,0,0,23,0,0,0,31
"2013-02-24",11.14,0,0,0,0,21,0,0,0,0,7,0,22,0,0,0,0,20,0,0,7,0,0,12,0,0,12,32,16,0,0,22
"2013-03-03",20,0,0,9,0,0,0,0,0,0,16,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,28
"2013-03-10",29.87,8,0,10,0,12,0,0,0,0,19,0,0,0,0,0,0,9,7,0,0,7,0,7,0,0,0,27,0,6,0,26
"2013-03-17",34,0,0,35,0,27,8,0,0,0,10,0,9,0,0,0,13,12,0,0,13,0,0,7,0,0,0,24,0,9,0,19
"2013-03-24",26.99,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,7,14,0,0,26,15,0,21,0,33
"2013-03-31",13.81,0,0,0,7,63,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,11,0,0,39
"2013-04-07",2,0,9,0,6,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,0,20,0,9,0,25
"2013-04-14",0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,25,24,23,0,0,0,0,0,16,0,0,32,0,0,0,17
"2013-04-21",0,13,0,12,0,19,15,0,0,0,0,0,10,0,0,0,6,15,0,0,0,10,0,0,0,0,0,17,7,7,0,28
"2013-04-28",0,0,0,0,0,8,0,0,0,0,23,0,0,0,0,0,8,0,0,0,0,0,0,19,0,0,0,11,0,0,0,18
"2013-05-05",0.99,0,0,9,0,24,0,0,0,0,0,0,11,0,0,0,17,23,0,9,0,0,0,0,0,0,0,8,0,0,0,29
"2013-05-12",1,0,13,0,0,10,0,0,0,0,0,0,11,0,0,0,24,0,0,8,0,0,0,0,17,0,0,0,0,12,22,22
"2015-02-22",0,10,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,7,0,10,0,0,0,37,0,0,12,53
"2015-03-01",0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,6,11,0,13,0,9,0,13,0,0,7,24,0,7,0,52
"2015-03-08",1,0,10,0,0,21,15,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,30,8,0,0,28,7,5,0,37
"2015-03-15",13.97,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,49,0,0,12,26,7,15,0,31
"2015-03-22",25,0,21,15,15,31,0,0,0,0,15,0,17,0,0,0,0,22,0,0,0,0,0,22,0,0,0,35,15,9,0,29
"2015-03-29",24.2,0,7,0,7,18,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,0,19,13,0,0,31,0,6,0,34
"2015-04-05",21,6,15,0,8,18,0,0,0,0,0,0,15,0,0,0,15,9,12,0,0,0,9,8,0,0,0,25,0,24,0,35
"2015-04-12",25.38,0,0,10,0,0,0,0,0,0,5,0,6,0,0,0,0,11,0,0,0,0,16,11,0,0,0,31,0,0,18,37
"2015-04-19",30.2,7,0,8,0,14,0,0,0,0,0,0,8,0,0,0,9,9,0,0,0,0,0,15,0,0,15,25,8,8,0,29
"2015-04-26",24,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,21,0,0,0,0,0,9,0,0,9,32,0,8,0,27
"2015-05-03",1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,19,0,0,0,0,0,18,12,0,0,17,0,9,9,36
"2015-12-27",0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,26,0,0,0,23,0,0,30,44
"2016-01-03",1.59,0,14,0,0,12,23,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,25,0,0,0,23,0,0,0,100
"2016-01-10",2.49,0,31,0,0,0,0,0,0,0,9,0,19,0,0,0,0,22,0,0,0,0,0,55,14,0,0,32,9,8,8,60
"2016-01-17",2,21,8,0,11,54,0,0,0,0,20,0,21,0,0,0,0,0,0,0,0,8,0,59,0,0,0,30,0,12,0,81
"2016-01-24",0.16,23,0,10,0,31,12,0,0,0,17,0,8,0,0,0,0,12,8,9,0,7,0,67,0,0,0,31,0,20,0,89
"2016-01-31",0,29,20,7,11,81,21,0,0,0,23,0,8,0,0,0,0,24,0,0,0,8,0,67,18,0,0,14,0,0,0,59
"2016-02-07",4.3,0,14,0,0,46,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,8,0,42,24,0,14,33,0,0,10,46
"2016-02-14",12,11,20,8,0,43,0,0,0,0,32,0,15,0,0,0,8,8,0,0,0,20,0,20,0,0,0,30,0,13,11,56
"2016-02-21",19.5,17,9,16,14,36,0,0,0,0,17,0,0,0,0,0,0,24,0,0,0,0,0,31,11,0,0,32,0,8,9,58
"2016-02-28",17,19,11,33,0,76,0,0,0,0,34,0,20,0,0,0,14,26,0,0,0,0,0,48,17,0,33,28,6,9,0,54
"2016-03-06",1.7,38,37,36,0,100,0,0,0,0,62,0,12,0,0,0,0,16,11,0,0,0,0,29,0,0,12,35,0,0,0,61
"2016-03-13",5,19,29,37,0,97,0,0,0,0,13,0,8,0,0,0,0,9,0,0,10,13,12,22,0,0,0,42,0,13,0,49
"2016-03-20",48.94,24,23,10,0,50,0,0,0,0,25,0,24,0,0,0,0,8,0,0,7,0,9,14,10,0,0,9,0,13,6,47
"2016-03-27",84,39,19,59,0,64,0,0,0,0,28,0,10,0,0,0,0,22,0,0,0,6,0,36,0,0,9,25,0,0,0,47
"2016-04-03",67.18,23,20,35,13,60,7,0,0,0,16,0,10,0,0,0,0,0,0,0,0,9,0,15,0,0,7,32,0,0,0,17
"2016-04-10",53,18,13,0,7,50,0,0,0,0,12,0,13,0,0,0,0,42,0,0,0,0,0,29,0,0,12,7,6,0,0,39
"2016-04-17",93.23,44,23,12,0,40,8,0,0,0,19,0,0,0,0,0,0,26,0,0,0,0,0,14,0,0,0,31,21,8,0,65
"2016-04-24",131,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,15,7,8,0,0,0,0,11,7,0,0,13,6,0,0,25
"2016-05-01",106.04,7,31,21,10,27,0,0,0,0,0,0,12,0,0,0,0,34,17,0,0,0,0,39,0,0,0,9,0,6,0,42
"2016-05-08",53,0,0,0,10,28,0,0,0,0,18,0,0,0,0,0,14,62,0,0,0,0,13,10,0,0,0,17,0,5,0,51
"2016-05-15",18.84,11,10,0,8,25,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,0,0,12,0,0,14,24,0,0,0,78
"2016-05-22",4.87,7,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,16,0,9,0,75
"2016-05-29",1,0,28,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,27,0,8,0,69
