"pred_date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
"2012-12-23",0,0,0,0,13,0,0,0,0,0,0,0,24,0,0,0,0,25,10,0,10,0,0,0,0,0,0,24,0,0,0,24
"2012-12-30",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,9,24,11,0,0,0,0,0,0,16,29,12,0,48
"2013-01-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,17,0,0,0,9,30,0,0,11,10,0,11,0,36
"2013-01-13",0,0,12,0,0,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,0,46
"2013-01-20",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,18,0,0,0,12,0,7,0,12,0,0,30,0,14,15,45
"2013-01-27",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,0,0,0,0,12,0,0,0,19
"2013-02-03",1.66,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,11,0,0,11,0,8,0,58
"2013-02-10",5,0,0,10,27,0,12,0,0,0,0,0,20,0,0,0,0,16,11,0,8,0,0,29,0,0,28,36,0,0,0,35
"2013-02-17",11.28,17,12,0,9,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,0,0,15,14,0,0,0,23,0,0,0,31
"2013-02-24",20,0,0,0,0,21,0,0,0,0,7,0,22,0,0,0,0,20,0,0,7,0,0,12,0,0,12,32,16,0,0,22
"2013-03-03",29.35,0,0,9,0,0,0,0,0,0,16,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,28
"2013-03-10",34,8,0,10,0,12,0,0,0,0,19,0,0,0,0,0,0,9,7,0,0,7,0,7,0,0,0,27,0,6,0,26
"2013-03-17",29.39,0,0,35,0,27,8,0,0,0,10,0,9,0,0,0,13,12,0,0,13,0,0,7,0,0,0,24,0,9,0,19
"2013-03-24",17.51,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,7,14,0,0,26,15,0,21,0,33
"2013-03-31",2,0,0,0,7,63,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,11,0,0,39
"2013-04-07",0,0,9,0,6,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,0,20,0,9,0,25
"2013-04-14",0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,25,24,23,0,0,0,0,0,16,0,0,32,0,0,0,17
"2013-04-21",0,13,0,12,0,19,15,0,0,0,0,0,10,0,0,0,6,15,0,0,0,10,0,0,0,0,0,17,7,7,0,28
