"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2015-10-04,"aedes",7,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",13,"new dengue virus",0,"DENV",0,"DHF",0,"disease",9,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",19,"náuseas",7,"vomitar",18,"vómitos",0,"fiebre",27
2015-10-11,"aedes",13,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",10,"rash",0,"headache",10,"nausea",0,"virus del dengue",7,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",12,"dolor de cabeza",55,"náuseas",11,"vomitar",9,"vómitos",0,"fiebre",41
2015-10-18,"aedes",11,"aedes aegypti",0,"aegypti",0,"vomit",14,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",9,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",11,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",31,"náuseas",0,"vomitar",17,"vómitos",0,"fiebre",44
2015-10-25,"aedes",0,"aedes aegypti",15,"aegypti",0,"vomit",0,"mosquito",13,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",12,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",7,"zancudo",14,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",49,"náuseas",0,"vomitar",15,"vómitos",0,"fiebre",28
2015-11-01,"aedes",10,"aedes aegypti",7,"aegypti",18,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",28,"rash",0,"headache",24,"nausea",0,"virus del dengue",14,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",21,"náuseas",0,"vomitar",7,"vómitos",0,"fiebre",38
2015-11-08,"aedes",11,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",16,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",10,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",6,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",28,"náuseas",0,"vomitar",8,"vómitos",15,"fiebre",78
2015-11-15,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",28,"rash",8,"headache",0,"nausea",7,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",17,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",25,"náuseas",0,"vomitar",6,"vómitos",0,"fiebre",33
2015-11-22,"aedes",6,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",24,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",8,"mosquitoes",0,"fever",15,"new dengue virus",0,"DENV",0,"DHF",0,"disease",18,"pain",20,"rash",0,"headache",0,"nausea",10,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",11,"zancudo",0,"nuevo virus del dengue",0,"erupción",14,"dolor de cabeza",37,"náuseas",0,"vomitar",10,"vómitos",23,"fiebre",58
2015-11-29,"aedes",8,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",20,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",15,"rash",0,"headache",0,"nausea",8,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",41,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",32,"náuseas",0,"vomitar",11,"vómitos",0,"fiebre",40
2015-12-06,"aedes",0,"aedes aegypti",0,"aegypti",13,"vomit",14,"mosquito",50,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",15,"mosquitoes",0,"fever",16,"new dengue virus",0,"DENV",0,"DHF",0,"disease",10,"pain",20,"rash",0,"headache",15,"nausea",0,"virus del dengue",12,"síntomas del dengue",0,"mosquitos",30,"zancudo",0,"nuevo virus del dengue",0,"erupción",12,"dolor de cabeza",28,"náuseas",0,"vomitar",21,"vómitos",16,"fiebre",19
2015-12-13,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",9,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",25,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",21,"rash",0,"headache",0,"nausea",0,"virus del dengue",8,"síntomas del dengue",0,"mosquitos",13,"zancudo",0,"nuevo virus del dengue",0,"erupción",8,"dolor de cabeza",15,"náuseas",0,"vomitar",14,"vómitos",0,"fiebre",45
2015-12-20,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",10,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",21,"rash",21,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",29,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",34
2015-12-27,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",46,"mosquito",33,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",47,"zancudo",13,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",29,"náuseas",0,"vomitar",18,"vómitos",0,"fiebre",22
2016-01-03,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",16,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",17,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",11,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",29,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",25,"náuseas",0,"vomitar",19,"vómitos",10,"fiebre",100
