"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2012-12-23,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",13,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",24,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",25,"rash",10,"headache",0,"nausea",10,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",24,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",24
2012-12-30,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",8,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",13,"rash",9,"headache",24,"nausea",11,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",16,"náuseas",29,"vomitar",12,"vómitos",0,"fiebre",48
2013-01-06,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",16,"pain",17,"rash",17,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",9,"mosquitos",30,"zancudo",0,"nuevo virus del dengue",0,"erupción",11,"dolor de cabeza",10,"náuseas",0,"vomitar",11,"vómitos",0,"fiebre",36
2013-01-13,"aedes",0,"aedes aegypti",12,"aegypti",0,"vomit",0,"mosquito",12,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",16,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",28,"zancudo",10,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",46
2013-01-20,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",7,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",18,"pain",0,"rash",0,"headache",0,"nausea",12,"virus del dengue",0,"síntomas del dengue",7,"mosquitos",0,"zancudo",12,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",30,"náuseas",0,"vomitar",14,"vómitos",15,"fiebre",45
2013-01-27,"aedes",0,"aedes aegypti",21,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",17,"rash",0,"headache",0,"nausea",0,"virus del dengue",21,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",12,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",19
2013-02-03,"aedes",13,"aedes aegypti",20,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",19,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",11,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",11,"náuseas",0,"vomitar",8,"vómitos",0,"fiebre",58
2013-02-10,"aedes",0,"aedes aegypti",0,"aegypti",10,"vomit",27,"mosquito",0,"dengue virus",12,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",20,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",16,"rash",11,"headache",0,"nausea",8,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",29,"zancudo",0,"nuevo virus del dengue",0,"erupción",28,"dolor de cabeza",36,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",35
2013-02-17,"aedes",17,"aedes aegypti",12,"aegypti",0,"vomit",9,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",21,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",15,"mosquitos",14,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",23,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",31
2013-02-24,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",21,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",7,"mosquitoes",0,"fever",22,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",20,"rash",0,"headache",0,"nausea",7,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",12,"zancudo",0,"nuevo virus del dengue",0,"erupción",12,"dolor de cabeza",32,"náuseas",16,"vomitar",0,"vómitos",0,"fiebre",22
